prov_code,name,name_en,fname,fname_en,level,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,grdp_2016,grdp_2018,grdp_2019,grdp_2020,grdp_2021,grdp_2017,area,order
96,Cà Mau,Ca Mau,Tỉnh Cà Mau,Ca Mau Province,Tỉnh,1198120,1196979,1195559,1194281,1193894,1208752,38.45,48.2,50.68,52.8,52.23,43.19,5168.58,17
95,Bạc Liêu,Bac Lieu,Tỉnh Bạc Liêu,Bac Lieu Province,Tỉnh,892802,897718,902964,908241,913481,918510,35.35,43.94,45.82,47.92,51.86,39.77,2479.15,10
94,Sóc Trăng,Soc Trang,Tỉnh Sóc Trăng,Soc Trang Province,Tỉnh,1227576,1218315,1208822,1199528,1195741,1206819,33.82,41.47,44.51,46.01,47.95,37.39,3282.85,51
93,Hậu Giang,Hau Giang,Tỉnh Hậu Giang,Hau Giang Province,Tỉnh,740059,737252,734903,732162,729780,729888,36.56,44.27,48.64,51.85,54.6,39.98,1622.16,29
84,Trà Vinh,Tra Vinh,Tỉnh Trà Vinh,Tra Vinh Province,Tỉnh,1007560,1008087,1008784,1009322,1009940,1018635,40.24,53.55,58.85,62.58,62.79,47.44,2325.11,59
92,Cần Thơ,Can Tho,Thành phố Cần Thơ,Can Tho City,Thành phố Trung ương,1214590,1222417,1227744,1235954,1240731,1246993,55.39,67.78,72.66,71.93,73.36,60.08,1439.77,4
86,Vĩnh Long,Vinh Long,Tỉnh Vĩnh Long,Vinh Long Province,Tỉnh,1022856,1022617,1022682,1022619,1022971,1029015,40.71,48.18,52.91,56.93,56.73,44.43,1525.59,61
83,Bến Tre,Ben Tre,Tỉnh Bến Tre,Ben Tre Province,Tỉnh,1278619,1282437,1285963,1289098,1292397,1295705,30.6,36.75,40.31,42.32,44.3,33.53,2339.96,12
91,Kiên Giang,Kien Giang,Tỉnh Kiên Giang,Kien Giang Province,Tỉnh,1708708,1712891,1718130,1723695,1728869,1752321,41.87,51.06,54.2,56.88,59.05,46.26,6296.02,33
82,Tiền Giang,Tien Giang,Tỉnh Tiền Giang,Tien Giang Province,Tỉnh,1740138,1751841,1759065,1766289,1772544,1779416,41.78,50.47,54.55,56.16,56.23,46.05,2405.95,58
